te_estimator,window_size,field_def,cmi_regimes,threshold_mode,sink_mode,thr_bot,thr_top,cooldown,max_posiciones,pnl_pct,portfolio_final,bh_pnl,alpha_bh,n_compras,n_ventas,n_trades,n_ignorados,win_rate,pos_finales,valid
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.8,96,9,80.91,1809.1,7.35,73.56,340,355,695,60,51.8,8,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.55,24,7,44.43,1444.26,7.35,37.07,1519,1567,3086,43,52.0,7,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.55,24,9,59.59,1595.94,7.35,52.24,1528,1567,3095,34,51.4,8,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.55,48,5,-22.59,774.14,7.35,-29.94,792,792,1584,6,48.6,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.55,48,7,-16.49,835.05,7.35,-23.85,792,792,1584,6,48.6,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.55,0,5,-19.23,807.72,7.35,-26.58,617,618,1235,25926,57.6,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.55,0,7,-14.12,858.76,7.35,-21.48,617,618,1235,25926,57.6,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.55,0,9,-11.16,888.41,7.35,-18.51,617,618,1235,25926,57.6,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.55,24,5,27.78,1277.79,7.35,20.42,1510,1567,3077,52,51.8,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.55,48,9,-12.98,870.16,7.35,-20.34,792,792,1584,6,48.6,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.55,96,5,-18.69,813.13,7.35,-26.04,400,399,799,1,48.9,1,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.55,96,7,-13.45,865.46,7.35,-20.81,400,399,799,1,48.9,1,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.55,96,9,-10.5,894.97,7.35,-17.86,400,399,799,1,48.9,1,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.6,24,7,49.7,1497.01,7.35,42.35,1494,1558,3052,62,50.4,6,True
binning,8,analogical,2,adaptive_percentile,score_component,0.65,0.6,24,9,67.37,1673.66,7.35,60.01,1509,1558,3067,47,52.5,8,True
