bot_combo,top_combo,umbral_bot,umbral_top,cooldown,pnl_pct,portfolio,n_buy,n_sell,n_trades,n_ign,win_rate,alpha_vs_bh,alpha_vs_orig
bb_position+recovery_pct,bb_position,0.75,0.6,96,10.35,1103.55,89,89,178,105,69.7,86.13,80.19
close_position+bb_position,drawdown_pct,0.75,0.65,96,10.3,1103.02,89,89,178,90,67.4,86.08,80.14
close_position+bb_position+recovery_pct,close_position+drawdown_pct+bb_position,0.75,0.6,96,10.26,1102.56,89,89,178,97,68.5,86.04,80.1
close_position+bb_position,drawdown_pct,0.75,0.6,96,10.23,1102.28,89,89,178,117,67.4,86.01,80.07
close_position+bb_position+recovery_pct,close_position+drawdown_pct,0.75,0.6,96,10.15,1101.49,89,89,178,82,66.3,85.93,79.99
bb_position,close_position+drawdown_pct+bb_position,0.7,0.7,96,10.13,1101.29,89,89,178,47,66.3,85.91,79.97
close_position+bb_position+recovery_pct,drawdown_pct,0.75,0.7,96,10.12,1101.24,89,89,178,46,62.9,85.9,79.96
close_position+recovery_pct,close_position+drawdown_pct+bb_position,0.7,0.65,96,10.09,1100.91,89,89,178,59,59.6,85.87,79.93
close_position+bb_position,close_position+bb_position,0.75,0.6,96,10.07,1100.72,89,89,178,119,67.4,85.85,79.91
close_position+bb_position+recovery_pct,close_position+bb_position,0.8,0.7,96,10.07,1100.69,89,89,178,26,60.7,85.85,79.91
close_position+bb_position,close_position,0.7,0.65,96,10.05,1100.49,89,88,177,48,52.3,85.83,79.89
close_position+bb_position,close_position+drawdown_pct,0.7,0.7,96,10.04,1100.41,89,89,178,30,52.8,85.82,79.88
close_position+bb_position+recovery_pct,close_position+drawdown_pct+bb_position,0.75,0.65,96,10.03,1100.29,89,89,178,46,62.9,85.81,79.87
close_position+bb_position+recovery_pct,bb_position,0.7,0.65,96,10.02,1100.21,89,89,178,105,64.0,85.8,79.86
bb_position+recovery_pct,close_position+bb_position,0.75,0.7,96,9.99,1099.89,89,89,178,26,61.8,85.77,79.83
close_position+bb_position+recovery_pct,drawdown_pct+bb_position,0.75,0.65,96,9.96,1099.62,89,89,178,64,69.7,85.74,79.8
bb_position+recovery_pct,drawdown_pct,0.65,0.65,96,9.9,1098.96,89,89,178,95,69.7,85.68,79.74
close_position+bb_position,close_position+drawdown_pct,0.75,0.6,96,9.88,1098.84,89,89,178,111,66.3,85.66,79.72
close_position+recovery_pct,drawdown_pct,0.7,0.6,96,9.87,1098.71,89,89,178,115,64.0,85.65,79.71
close_position+bb_position+recovery_pct,close_position+drawdown_pct,0.7,0.65,96,9.86,1098.6,89,89,178,84,60.7,85.64,79.7
close_position+bb_position+recovery_pct,bb_position,0.8,0.65,96,9.83,1098.3,89,89,178,85,65.2,85.61,79.67
bb_position,close_position+drawdown_pct,0.75,0.7,96,9.82,1098.17,89,89,178,30,56.2,85.6,79.66
close_position+bb_position,drawdown_pct,0.75,0.7,96,9.81,1098.09,89,89,178,73,62.9,85.59,79.65
close_position+recovery_pct,close_position+drawdown_pct+bb_position,0.7,0.6,96,9.81,1098.05,89,89,178,110,65.2,85.59,79.65
close_position+bb_position,close_position+bb_position,0.7,0.65,96,9.75,1097.49,89,89,178,81,57.3,85.53,79.59
close_position+bb_position+recovery_pct,close_position,0.75,0.6,96,9.64,1096.45,89,89,178,68,64.0,85.42,79.48
bb_position,close_position+drawdown_pct,0.7,0.7,96,9.63,1096.26,89,89,178,30,55.1,85.41,79.47
close_position+recovery_pct,bb_position,0.65,0.65,96,9.63,1096.33,89,89,178,97,61.8,85.41,79.47
close_position+recovery_pct,close_position,0.75,0.65,96,9.59,1095.94,87,86,173,99,59.3,85.37,79.43
bb_position,drawdown_pct,0.75,0.65,96,9.55,1095.54,89,89,178,87,69.7,85.33,79.39
close_position+recovery_pct,close_position+drawdown_pct+bb_position,0.65,0.7,96,9.53,1095.27,89,89,178,45,57.3,85.31,79.37
bb_position+recovery_pct,bb_position,0.7,0.65,96,9.53,1095.35,89,89,178,100,66.3,85.31,79.37
close_position+bb_position,drawdown_pct+bb_position,0.75,0.6,96,9.5,1095.02,89,89,178,135,71.9,85.28,79.34
bb_position+recovery_pct,close_position,0.65,0.65,96,9.5,1094.97,89,88,177,44,54.5,85.28,79.34
close_position+bb_position+recovery_pct,drawdown_pct+bb_position,0.75,0.6,96,9.49,1094.91,89,89,178,100,69.7,85.27,79.33
close_position+bb_position+recovery_pct,close_position+drawdown_pct+bb_position,0.7,0.65,96,9.44,1094.37,89,89,178,62,59.6,85.22,79.28
close_position+bb_position+recovery_pct,drawdown_pct+bb_position,0.7,0.65,96,9.42,1094.25,89,89,178,86,65.2,85.2,79.26
bb_position,drawdown_pct,0.7,0.65,96,9.33,1093.29,89,89,178,84,71.9,85.11,79.17
bb_position+recovery_pct,drawdown_pct,0.65,0.7,96,9.32,1093.19,89,89,178,68,62.9,85.1,79.16
bb_position+recovery_pct,close_position+drawdown_pct,0.7,0.65,96,9.32,1093.18,89,89,178,63,60.7,85.1,79.16
close_position+recovery_pct,bb_position,0.85,0.8,96,9.29,1092.94,83,83,166,86,66.3,85.07,79.13
recovery_pct,drawdown_pct,0.65,0.6,96,9.26,1092.61,89,89,178,84,62.9,85.04,79.1
close_position+bb_position+recovery_pct,close_position+bb_position,0.8,0.6,96,9.26,1092.57,89,89,178,93,67.4,85.04,79.1
close_position,close_position+drawdown_pct+bb_position,0.7,0.7,96,9.2,1092.02,89,89,178,46,61.8,84.98,79.04
close_position+bb_position,bb_position,0.75,0.6,96,9.19,1091.94,89,89,178,128,68.5,84.97,79.03
close_position+recovery_pct,close_position+drawdown_pct+bb_position,0.85,0.75,96,9.14,1091.44,83,83,166,94,62.7,84.92,78.98
close_position+recovery_pct,close_position+drawdown_pct,0.7,0.6,96,9.13,1091.29,89,89,178,106,62.9,84.91,78.97
bb_position+recovery_pct,drawdown_pct,0.7,0.65,96,9.11,1091.11,89,89,178,68,65.2,84.89,78.95
bb_position,drawdown_pct,0.75,0.7,96,9.06,1090.59,89,89,178,69,65.2,84.84,78.9
bb_position,close_position+bb_position,0.75,0.65,96,9.05,1090.53,89,89,178,76,61.8,84.83,78.89
bb_position,close_position,0.75,0.65,96,9.04,1090.4,89,88,177,36,56.8,84.82,78.88
